,Name_Metabolon,Name_PMI,KEGG,KEGG_ID_NOTES,Group.HMDB
201,myristoyl dihydrosphingomyelin (d18:0/14:0)*,Cer d18:0/14:0,,,HMDB12085
195,N-palmitoyl-sphinganine (d18:0/16:0),Cer d18:0/16:0,,,HMDB11760
196,N-palmitoyl-sphingosine (d18:1/16:0),Cer d18:0/16:0,,,HMDB04949
202,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,Cer d18:0/16:0,,,
203,behenoyl dihydrosphingomyelin (d18:0/22:0)*,Cer d18:0/22:0,,,HMDB12091
200,glycosyl-N-palmitoyl-sphingosine (d18:1/16:0),Cer d18:1/16:0,,,
197,N-stearoyl-sphingosine (d18:1/18:0)*,Cer d18:1/18:0,,,HMDB04950
199,"ceramide (d18:2/24:1, d18:1/24:2)*",Cer d18:1/24:2,,,
198,N-palmitoyl-sphingadienine (d18:2/16:0)*,Cer d18:2/16:0,,,
170,palmitoyl-myristoyl-glycerol (16:0/14:0) [2],DAG 30:0,C00165,GENERIC DAG ONLY,HMDB07095
166,"diacylglycerol (12:0/18:1, 14:0/16:1, 16:0/14:1) [2]*",DAG 30:1,C00165,GENERIC DAG ONLY,
171,palmitoyl-palmitoyl-glycerol (16:0/16:0) [2]*,DAG 32:0,C00165,GENERIC DAG ONLY,HMDB07098
167,"diacylglycerol (14:0/18:1, 16:0/16:1) [1]*",DAG 32:1,C00165,GENERIC DAG ONLY,
168,"diacylglycerol (14:0/18:1, 16:0/16:1) [2]*",DAG 32:1,C00165,GENERIC DAG ONLY,
172,palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*,DAG 34:1,C13861,FROM METABOLON,HMDB07102
173,palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,DAG 34:1,C13861,FROM METABOLON,HMDB07102
174,palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,DAG 34:2,C00165,GENERIC DAG ONLY,HMDB07103
175,palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,DAG 34:2,C00165,GENERIC DAG ONLY,HMDB07103
169,"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",DAG 34:3,C00165,GENERIC DAG ONLY,
176,palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*,DAG 34:3,C00165,GENERIC DAG ONLY,HMDB07132
232,,DAG 35:3,C00165,GENERIC DAG ONLY,
182,stearoyl-linoleoyl-glycerol (18:0/18:2) [2]*,DAG 36:2,C00165,GENERIC DAG ONLY,
183,oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,DAG 36:2,C00165,GENERIC DAG ONLY,HMDB07218
177,palmitoyl-dihomo-linolenoyl-glycerol (16:0/20:3n3 or 6) [2]*,DAG 36:3,C00165,GENERIC DAG ONLY,
184,oleoyl-linoleoyl-glycerol (18:1/18:2) [1],DAG 36:3,C00165,GENERIC DAG ONLY,HMDB07219
185,oleoyl-linoleoyl-glycerol (18:1/18:2) [2],DAG 36:3,C00165,GENERIC DAG ONLY,HMDB07219
178,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*,DAG 36:4,C00165,GENERIC DAG ONLY,HMDB07112
179,palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,DAG 36:4,C00165,GENERIC DAG ONLY,HMDB07112
186,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,DAG 36:4,C00165,GENERIC DAG ONLY,HMDB07248
187,linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,DAG 36:5,C00165,GENERIC DAG ONLY,HMDB07250
233,,DAG 38:1,C00165,GENERIC DAG ONLY,
188,stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,DAG 38:4,C00165,GENERIC DAG ONLY,
189,stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,DAG 38:4,C00165,GENERIC DAG ONLY,
